id_area,td_navyj_km_6,td_navyj_km_5,td_navyj_km_4
10077,0.611658309,18.89188778,19.536504
10036,0.609916362,118.1061871,119.2463349
10094,0.610405201,63.52013765,61.70956322
10141,0.003552154,113.3689375,112.0627192
10151,0.609788901,128.0632053,126.4429763
10152,0.003613161,121.2490743,122.3322997
10005,0.003585676,119.6716669,118.2206401
10127,0.61192478,17.82909344,16.44042717
10090,0.003192318,70.3443748,69.93257118
10073,0.610088994,101.3031815,100.7631784
10166,0.613167621,24.1175502,24.65379272
10086,0.003514364,109.1731379,108.9862615
10053,0.610443095,59.32393864,61.70956322
10150,0.60977397,125.445138,126.4429763
10029,0.002958476,34.12785566,34.9704507
10089,0.003339235,19.41675112,17.47977436
10162,0.610437985,51.97083039,52.45102989
10055,0.002873024,23.61650255,21.59424872
10153,0.003513018,109.1731379,108.9862615
10126,0.610610463,42.52043797,43.19288613
10057,0.005686891,23.59275337,21.57427779
10093,0.003267257,16.26792516,14.39496764
10226,0.611263007,22.56614223,21.59424872
10085,0.610223541,83.98380223,86.38009266
10133,0.003607513,119.6716669,119.2463349
10101,0.003120776,21.51609097,19.536504
10270,0.611610719,20.46626684,19.536504
10051,0.611972524,8.918909688,8.22251247
10202,0.003094267,56.16963039,56.56292536
10054,0.002987443,22.56614223,21.59424872
10217,0.003012251,32.02441553,30.85925843
10119,0.003175957,13.11906229,11.31013206
10056,0.613622399,22.02582373,20.55469255
10015,0.609806257,123.3469851,122.3322997
10110,0.002945078,31.49282474,28.79793569
10199,0.610584716,45.14749922,43.19288613
10130,0.610157872,99.73895521,101.7930121
10183,0.00299953,51.97083039,52.45102989
10136,0.610517459,47.24582376,48.33965367
10107,0.610280485,74.54250207,75.08068158
10050,0.612333635,8.918909688,6.169634488
10137,0.003837779,146.9461962,148.0208697
10216,0.003008959,33.59859562,30.85925843
10320,0.003861525,132.7923901,131.5788087
10063,0.002879899,28.86729918,26.73786636
10006,0.60995617,119.6716669,118.2206401
10115,0.610727253,36.22598789,34.9704507
10106,0.003957703,10.49287246,6.169634488
10067,0.613430336,20.44945039,18.49476497
10112,0.003883563,20.9911479,20.56459072
10200,0.610634618,40.4222514,39.08168454
10113,0.003276871,80.83720316,79.19168899
10062,0.003275315,87.14470499,89.46022473
10046,0.609813078,130.1628214,131.5788087
10061,0.003296249,89.76128728,89.46022473
10117,0.004193893,16.78613506,16.44568319
10201,0.609944677,116.5271267,116.173482
10120,0.611950585,11.54464511,11.31013206
10118,0.003255099,83.98380223,82.26700435
10114,0.002935861,38.32411131,39.08168454
10144,0.609261102,44.06801555,44.66706657
10128,0.609151711,39.01027415,40.75614373
10083,0.00062308,12.50332533,14.30486121
10121,0.608114806,18.56976932,17.15196274
10023,0.609349566,54.78482535,56.66899322
11069,0.000998182,28.13809557,25.02836421
11070,0.000425715,6.789052159,4.112984287
11062,0.000812068,6.697717059,8.048565017
11061,0.000921163,26.61922719,25.02836421
11060,0.000760017,8.660841648,11.02151745
11012,0.000921803,17.95469338,16.10385999
11068,0.000667157,6.297375206,9.187531388
11071,0.000542011,14.47428108,13.12900673
10254,0.000652098,49.20481966,51.26291777
10035,0.001592766,30.228477,30.64552504
10058,0.607197116,50.56190148,52.10445272
10019,0.604922747,24.59536918,23.5896882
10034,0.604627881,34.39546717,33.70015961
10108,0.606811737,53.63207598,54.06551407
10260,0.002483059,49.47683671,48.96689094
10033,0.00164046,35.9542013,33.70015961
10060,0.606991397,51.57926509,51.03327232
10059,0.002595992,51.07068429,53.10022298
10308,0.002088191,44.79349307,43.88374466
11035,0.598764947,104.2679168,108.2292523
11051,0.598737201,72.47619012,70.88772815
11049,0.000480436,63.6174278,65.82159374
11005,0.000795672,113.786492,115.5063955
11055,0.598620027,59.89179248,59.68522845
11050,0.598945186,71.73661883,73.80540003
11039,0.598866327,79.13437199,81.02291107
11017,0.001442581,35.75993083,36.62153567
11021,0.001267216,39.28574383,38.48491828
11015,0.001258708,32.03643011,33.43760099
11016,0.599597131,34.13598238,33.43760099
11020,0.599462677,38.80989362,37.55137081
11024,0.599041196,25.46256005,26.5365452
11007,0.59914033,8.512399849,7.949628111
11023,0.000993559,32.23596994,30.65034654
11018,0.599367434,37.38382667,35.69212507
11008,0.000623275,4.455328255,2.909750419
11014,0.598914028,23.09532684,25.60869259
11009,0.000734387,7.025495455,2.909750419
11026,0.599088944,33.16125676,31.0294255
11044,0.000327611,7.242614056,8.228534482
11027,0.001097059,31.67569667,31.0294255
11006,0.000815397,8.512399849,7.949628111
11013,0.000936147,17.26867183,17.381091
11025,0.599182222,27.83716214,28.39388465
11076,0.597951553,139.9980622,134.8996672
11074,0.597947913,138.9454642,137.785991
11057,0.598280375,115.1331884,113.0440658
11059,0.001402619,76.03093725,74.42391472
11047,0.001355,71.98709754,71.52724241
11048,0.001406864,155.5303767,152.5743315
11029,0.599619443,77.1964642,75.1805191
